2022001 ('85', 'A')
2022002 ('28', 'F')
2022003 ('48', 'D')
2022004 ('51', 'C')
2022005 ('47', 'D')
2022006 ('51', 'C')
2022007 ('32', 'F')
2022008 ('80', 'B')
2022009 ('62', 'C')
2022010 ('43', 'D')
2022011 ('32', 'F')
2022012 ('36', 'F')
2022013 ('52', 'C')
2022014 ('45', 'D')
2022015 ('39', 'F')
2022016 ('36', 'F')
2022017 ('54', 'C')
2022018 ('60', 'C')
2022019 ('72', 'B')
2022020 ('65', 'B')
2022021 ('61', 'C')
2022022 ('58', 'C')
2022023 ('53', 'C')
2022024 ('54', 'C')
2022025 ('48', 'D')
2022026 ('58', 'C')
2022027 ('73', 'B')
2022028 ('31', 'F')
2022029 ('59', 'C')
2022030 ('52', 'C')
2022031 ('59', 'C')
2022032 ('69', 'B')
2022033 ('29', 'F')
2022034 ('77', 'B')
2022035 ('68', 'B')
2022036 ('26', 'F')
2022037 ('24', 'F')
2022038 ('72', 'B')
2022039 ('68', 'B')
2022040 ('54', 'C')
2022041 ('40', 'D')
2022042 ('60', 'C')
2022043 ('72', 'B')
2022044 ('60', 'C')
2022045 ('55', 'C')
2022046 ('37', 'F')
2022047 ('54', 'C')
2022048 ('57', 'C')
2022049 ('40', 'D')
2022050 ('39', 'F')
2022051 ('37', 'F')
2022052 ('53', 'C')
2022053 ('68', 'B')
2022054 ('49', 'D')
2022055 ('54', 'C')
2022056 ('50', 'C')
2022057 ('55', 'C')
2022058 ('47', 'D')
2022059 ('62', 'C')
2022060 ('51', 'C')
2022061 ('51', 'C')
2022062 ('50', 'C')
2022063 ('68', 'B')
2022064 ('44', 'D')
2022065 ('73', 'B')
2022066 ('46', 'D')
2022067 ('53', 'C')
2022068 ('25', 'F')
2022069 ('39', 'F')
2022070 ('48', 'D')
2022071 ('61', 'C')
2022072 ('40', 'D')
2022073 ('52', 'C')
2022074 ('44', 'D')
2022075 ('37', 'F')
2022076 ('36', 'F')
2022077 ('42', 'D')
2022078 ('52', 'C')
2022079 ('58', 'C')
2022080 ('37', 'F')
2022081 ('60', 'C')
2022082 ('54', 'C')
2022083 ('57', 'C')
2022084 ('49', 'D')
2022085 ('49', 'D')
2022086 ('57', 'C')
2022087 ('42', 'D')
2022088 ('78', 'B')
2022089 ('68', 'B')
2022090 ('48', 'D')
2022091 ('81', 'A')
2022092 ('55', 'C')
2022093 ('31', 'F')
2022094 ('55', 'C')
2022095 ('51', 'C')
2022096 ('49', 'D')
2022097 ('41', 'D')
2022098 ('51', 'C')
2022099 ('59', 'C')
2022100 ('62', 'C')
2022101 ('53', 'C')
2022102 ('41', 'D')
2022103 ('49', 'D')
2022104 ('59', 'C')
2022105 ('47', 'D')
2022106 ('56', 'C')
2022107 ('75', 'B')
2022108 ('73', 'B')
2022109 ('66', 'B')
2022110 ('47', 'D')
2022111 ('52', 'C')
2022112 ('64', 'C')
2022113 ('17', 'F')
2022114 ('41', 'D')
2022115 ('55', 'C')
2022116 ('66', 'B')
2022117 ('59', 'C')
2022118 ('43', 'D')
2022119 ('58', 'C')
2022120 ('56', 'C')
2022121 ('64', 'C')
2022122 ('52', 'C')
2022123 ('70', 'B')
2022124 ('53', 'C')
2022125 ('46', 'D')
2022126 ('35', 'F')
2022127 ('76', 'B')
2022128 ('40', 'D')
2022129 ('33', 'F')
2022130 ('51', 'C')
2022131 ('39', 'F')
2022132 ('40', 'D')
2022133 ('69', 'B')
2022134 ('59', 'C')
2022135 ('56', 'C')
2022136 ('56', 'C')
2022137 ('33', 'F')
2022138 ('55', 'C')
2022139 ('39', 'F')
2022140 ('51', 'C')
2022141 ('36', 'F')
2022142 ('61', 'C')
2022143 ('27', 'F')
2022144 ('84', 'A')
2022145 ('63', 'C')
2022146 ('51', 'C')
2022147 ('40', 'D')
2022148 ('38', 'F')
2022149 ('52', 'C')
2022150 ('50', 'C')
2022151 ('45', 'D')
2022152 ('71', 'B')
2022153 ('59', 'C')
2022154 ('42', 'D')
2022155 ('68', 'B')
2022156 ('50', 'C')
2022157 ('61', 'C')
2022158 ('68', 'B')
2022159 ('77', 'B')
2022160 ('35', 'F')
2022161 ('38', 'F')
2022162 ('54', 'C')
2022163 ('55', 'C')
2022164 ('38', 'F')
2022165 ('72', 'B')
2022166 ('46', 'D')
2022167 ('55', 'C')
2022168 ('35', 'F')
2022169 ('65', 'B')
2022170 ('62', 'C')
2022171 ('54', 'C')
2022172 ('74', 'B')
2022173 ('59', 'C')
2022174 ('83', 'A')
2022175 ('55', 'C')
2022176 ('66', 'B')
2022177 ('63', 'C')
2022178 ('53', 'C')
2022179 ('71', 'B')
2022180 ('40', 'D')
2022181 ('67', 'B')
2022182 ('88', 'A')
2022183 ('30', 'F')
2022184 ('89', 'A')
2022185 ('25', 'F')
2022186 ('39', 'F')
2022187 ('63', 'C')
2022188 ('31', 'F')
2022189 ('65', 'B')
2022190 ('36', 'F')
2022191 ('78', 'B')
2022192 ('57', 'C')
2022193 ('55', 'C')
2022194 ('37', 'F')
2022195 ('51', 'C')
2022196 ('50', 'C')
2022197 ('74', 'B')
2022198 ('46', 'D')
2022199 ('49', 'D')
2022200 ('32', 'F')
2022201 ('71', 'B')
2022202 ('44', 'D')
2022203 ('62', 'C')
2022204 ('68', 'B')
2022205 ('50', 'C')
2022206 ('30', 'F')
2022207 ('39', 'F')
2022208 ('60', 'C')
2022209 ('76', 'B')
2022210 ('44', 'D')
2022211 ('59', 'C')
2022212 ('51', 'C')
2022213 ('66', 'B')
